plu_kod,tw_nazwa,tw_cena_sprz,tw_idabaco
5904988309597,DZIK  ENERGY ZERO KALORII PEACH,"4,59",5118849
5904988310401,VITAMIN BOOST WIELOOWOCOWY 750m,"5,99",5118906
5907368800882,ACTIV PRZEDTR 80ML BL PANTH JAB,"3,99",5124185
5902860417781,DR PEPPER NAP 0.33L VANILLA,"2,99",5214358
5900497048477,PEPSI 330ML LEMON ZERO,"3,29",5216205
5900378733041,BI£GO KWAS CHLEBOWY 0.5L BBZ,"6,19",5217112
5449000294678,COCA COLA NAP GAZ 4X850ML ZERO,"25,99",4168381
5900497029780,Pepsi ns lime zip pack 2x2l,"6,59",4784195
5900552071426,BLACK MAGIC COLA ENERGY CLASSIC,"2,19",4818308
5900497036191,MIRINDA BLUBERRY ORANGE PET 1.5,"4,99",4281267
5000112644173,COCA COLA 2L,"5,89",4819223
5900552070108,BLACK 500ML MANGO,"2,75",3942257
5900552078647,NGINE NAP”J ENERG MOJITO 250ML,"1,99",4020558
5900552079088,BLACK MOJITO 500ML,"4,39",4020533
5900552079149,BLACK CLASSIC 500ML,"4,39",4020517
5906441360305,ZBYSZKO LEMONIAD CYT-LIM GAZ 1L,"3,79",4349684
5900552079224,4 MOVE MG FORTE MAGNESIUM 150ml,"2,29",4360335
5903242582332,BEORG IZOTONIK 100G BIO,"21,99",3636693
5449000314598,COCA COLA NAP 850ML GAZ ZER LIM,"6,99",5037866
5449000287038,FANTA NAP”J 330ML ORANGE,"3,49",5040050
5905133528153,JUNGLE NAP 450ML NATA MELON,"3,49",5137781
5900497039161,LIPTON NAP”J HERBAC 1.5L MINT,"5,59",4849543
59090427,PEPSI 250ML COLA,"3,49",4849568
59090427,PEPSI 250ML COLA,"3,49",4849568
5902860416302,SCHWEPP NAP WILD BERRY 1.35L,"7,99",4850855
90357473,coca cola zero 150 ml,"0,99",4539367
90357473,coca cola zero 150 ml,"0,99",4539367
5902020669371,CHAIMATE NAP”J 330ML GAZ,"3,99",5172887
5900497043458,LIPTON NAP”J 500ML HERB MANGO,"4,99",5175740
5900334015532,TIGER NAP”J 250ML ENERG MAND,"2,89",3751336
5900552063940,BLACK ENERGY EXTREME 250ML,"2,39",3764784
5900541007771,Øywiec zdrÛj black tea brzosk p,"3,29",4680765
